Unnamed: 0,lat,lon,r_summer,p_summer,r_all,p_all
18065,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
18421,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
18785,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
19146,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
19509,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
19858,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
20203,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
20397,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
17352,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
17710,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
18063,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
18419,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
18783,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
19144,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
19507,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
19856,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
20201,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
20395,35.614132,-97.47508,0.360881438,0.032145174,-0.392736366,0.029412243
17124,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
17478,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
17833,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
18185,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
18553,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
18915,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
19277,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
19641,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
19986,37.702065,-97.31485,-0.511092262,0.025254461,-0.472356733,0.028117156
17353,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
17711,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
18064,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
18420,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
18784,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
19145,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
19508,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
19857,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
20202,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
20396,36.204903,-95.97654,-0.427144942,0.026549965,0.647468487,0.002208294
17231,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
17585,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
17938,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
18291,41.247486,-95.973145,0.405300161,0.007831663,-0.833464705,0.002619444
